image_id,image_path,caption_1,caption_2,caption_3,caption_4,caption_5,paleta,composicion,motivo,simetria,nivel_ambiguedad,observacion
T011,data/images/T011.png,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta rojo, negro, crema.","Imagen generada de inspiracion textil con cuadricula geometrica, organizacion reticular y simetria repetitiva.","Diseno geometrico generado con paleta rojo, negro, crema, estructura reticular y repeticion visual.","Patron sintetico con elementos de cuadricula geometrica, distribucion reticular y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",rojo_negro_crema,reticular,cuadricula geometrica,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T012,data/images/T012.png,"Patron textil generado con composicion mixta, motivos de motivos geometricos combinados y paleta azul, crema, marron.","Imagen generada de inspiracion textil con motivos geometricos combinados, organizacion mixta y simetria asimetrica.","Diseno geometrico generado con paleta azul, crema, marron, estructura mixta y repeticion visual.","Patron sintetico con elementos de motivos geometricos combinados, distribucion mixta y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria asimetrica y nivel de ambiguedad alto.",azul_crema_marron,mixta,motivos geometricos combinados,asimetrica,alto,Imagen generada por script para evaluacion academica controlada
T013,data/images/T013.png,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta ocre, marron, negro.","Imagen generada de inspiracion textil con bandas geometricas, organizacion horizontal y simetria repetitiva.","Diseno geometrico generado con paleta ocre, marron, negro, estructura horizontal y repeticion visual.","Patron sintetico con elementos de bandas geometricas, distribucion horizontal y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",ocre_marron_negro,horizontal,bandas geometricas,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T014,data/images/T014.png,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta blanco, negro, gris.","Imagen generada de inspiracion textil con bandas geometricas, organizacion vertical y simetria repetitiva.","Diseno geometrico generado con paleta blanco, negro, gris, estructura vertical y repeticion visual.","Patron sintetico con elementos de bandas geometricas, distribucion vertical y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",blanco_negro_gris,vertical,bandas geometricas,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T015,data/images/T015.png,"Patron textil generado con composicion central, motivos de rombos y paleta multicolor, tierra.","Imagen generada de inspiracion textil con rombos, organizacion central y simetria bilateral.","Diseno geometrico generado con paleta multicolor, tierra, estructura central y repeticion visual.","Patron sintetico con elementos de rombos, distribucion central y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria bilateral y nivel de ambiguedad medio.",multicolor_tierra,central,rombos,bilateral,medio,Imagen generada por script para evaluacion academica controlada
T016,data/images/T016.png,"Patron textil generado con composicion modular, motivos de grecas escalonadas y paleta rojo, negro, crema.","Imagen generada de inspiracion textil con grecas escalonadas, organizacion modular y simetria repetitiva.","Diseno geometrico generado con paleta rojo, negro, crema, estructura modular y repeticion visual.","Patron sintetico con elementos de grecas escalonadas, distribucion modular y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad medio.",rojo_negro_crema,modular,grecas escalonadas,repetitiva,medio,Imagen generada por script para evaluacion academica controlada
T017,data/images/T017.png,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta azul, crema, marron.","Imagen generada de inspiracion textil con cuadricula geometrica, organizacion reticular y simetria repetitiva.","Diseno geometrico generado con paleta azul, crema, marron, estructura reticular y repeticion visual.","Patron sintetico con elementos de cuadricula geometrica, distribucion reticular y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",azul_crema_marron,reticular,cuadricula geometrica,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T018,data/images/T018.png,"Patron textil generado con composicion mixta, motivos de motivos geometricos combinados y paleta ocre, marron, negro.","Imagen generada de inspiracion textil con motivos geometricos combinados, organizacion mixta y simetria asimetrica.","Diseno geometrico generado con paleta ocre, marron, negro, estructura mixta y repeticion visual.","Patron sintetico con elementos de motivos geometricos combinados, distribucion mixta y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria asimetrica y nivel de ambiguedad alto.",ocre_marron_negro,mixta,motivos geometricos combinados,asimetrica,alto,Imagen generada por script para evaluacion academica controlada
T019,data/images/T019.png,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta blanco, negro, gris.","Imagen generada de inspiracion textil con bandas geometricas, organizacion horizontal y simetria repetitiva.","Diseno geometrico generado con paleta blanco, negro, gris, estructura horizontal y repeticion visual.","Patron sintetico con elementos de bandas geometricas, distribucion horizontal y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",blanco_negro_gris,horizontal,bandas geometricas,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T020,data/images/T020.png,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta multicolor, tierra.","Imagen generada de inspiracion textil con bandas geometricas, organizacion vertical y simetria repetitiva.","Diseno geometrico generado con paleta multicolor, tierra, estructura vertical y repeticion visual.","Patron sintetico con elementos de bandas geometricas, distribucion vertical y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",multicolor_tierra,vertical,bandas geometricas,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T021,data/images/T021.png,"Patron textil generado con composicion central, motivos de rombos y paleta rojo, negro, crema.","Imagen generada de inspiracion textil con rombos, organizacion central y simetria bilateral.","Diseno geometrico generado con paleta rojo, negro, crema, estructura central y repeticion visual.","Patron sintetico con elementos de rombos, distribucion central y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria bilateral y nivel de ambiguedad medio.",rojo_negro_crema,central,rombos,bilateral,medio,Imagen generada por script para evaluacion academica controlada
T022,data/images/T022.png,"Patron textil generado con composicion modular, motivos de grecas escalonadas y paleta azul, crema, marron.","Imagen generada de inspiracion textil con grecas escalonadas, organizacion modular y simetria repetitiva.","Diseno geometrico generado con paleta azul, crema, marron, estructura modular y repeticion visual.","Patron sintetico con elementos de grecas escalonadas, distribucion modular y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad medio.",azul_crema_marron,modular,grecas escalonadas,repetitiva,medio,Imagen generada por script para evaluacion academica controlada
T023,data/images/T023.png,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta ocre, marron, negro.","Imagen generada de inspiracion textil con cuadricula geometrica, organizacion reticular y simetria repetitiva.","Diseno geometrico generado con paleta ocre, marron, negro, estructura reticular y repeticion visual.","Patron sintetico con elementos de cuadricula geometrica, distribucion reticular y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",ocre_marron_negro,reticular,cuadricula geometrica,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T024,data/images/T024.png,"Patron textil generado con composicion mixta, motivos de motivos geometricos combinados y paleta blanco, negro, gris.","Imagen generada de inspiracion textil con motivos geometricos combinados, organizacion mixta y simetria asimetrica.","Diseno geometrico generado con paleta blanco, negro, gris, estructura mixta y repeticion visual.","Patron sintetico con elementos de motivos geometricos combinados, distribucion mixta y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria asimetrica y nivel de ambiguedad alto.",blanco_negro_gris,mixta,motivos geometricos combinados,asimetrica,alto,Imagen generada por script para evaluacion academica controlada
T025,data/images/T025.png,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta multicolor, tierra.","Imagen generada de inspiracion textil con bandas geometricas, organizacion horizontal y simetria repetitiva.","Diseno geometrico generado con paleta multicolor, tierra, estructura horizontal y repeticion visual.","Patron sintetico con elementos de bandas geometricas, distribucion horizontal y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",multicolor_tierra,horizontal,bandas geometricas,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T026,data/images/T026.png,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta rojo, negro, crema.","Imagen generada de inspiracion textil con bandas geometricas, organizacion vertical y simetria repetitiva.","Diseno geometrico generado con paleta rojo, negro, crema, estructura vertical y repeticion visual.","Patron sintetico con elementos de bandas geometricas, distribucion vertical y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",rojo_negro_crema,vertical,bandas geometricas,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T027,data/images/T027.png,"Patron textil generado con composicion central, motivos de rombos y paleta azul, crema, marron.","Imagen generada de inspiracion textil con rombos, organizacion central y simetria bilateral.","Diseno geometrico generado con paleta azul, crema, marron, estructura central y repeticion visual.","Patron sintetico con elementos de rombos, distribucion central y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria bilateral y nivel de ambiguedad medio.",azul_crema_marron,central,rombos,bilateral,medio,Imagen generada por script para evaluacion academica controlada
T028,data/images/T028.png,"Patron textil generado con composicion modular, motivos de grecas escalonadas y paleta ocre, marron, negro.","Imagen generada de inspiracion textil con grecas escalonadas, organizacion modular y simetria repetitiva.","Diseno geometrico generado con paleta ocre, marron, negro, estructura modular y repeticion visual.","Patron sintetico con elementos de grecas escalonadas, distribucion modular y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad medio.",ocre_marron_negro,modular,grecas escalonadas,repetitiva,medio,Imagen generada por script para evaluacion academica controlada
T029,data/images/T029.png,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta blanco, negro, gris.","Imagen generada de inspiracion textil con cuadricula geometrica, organizacion reticular y simetria repetitiva.","Diseno geometrico generado con paleta blanco, negro, gris, estructura reticular y repeticion visual.","Patron sintetico con elementos de cuadricula geometrica, distribucion reticular y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",blanco_negro_gris,reticular,cuadricula geometrica,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T030,data/images/T030.png,"Patron textil generado con composicion mixta, motivos de motivos geometricos combinados y paleta multicolor, tierra.","Imagen generada de inspiracion textil con motivos geometricos combinados, organizacion mixta y simetria asimetrica.","Diseno geometrico generado con paleta multicolor, tierra, estructura mixta y repeticion visual.","Patron sintetico con elementos de motivos geometricos combinados, distribucion mixta y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria asimetrica y nivel de ambiguedad alto.",multicolor_tierra,mixta,motivos geometricos combinados,asimetrica,alto,Imagen generada por script para evaluacion academica controlada
T031,data/images/T031.png,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta rojo, negro, crema.","Imagen generada de inspiracion textil con bandas geometricas, organizacion horizontal y simetria repetitiva.","Diseno geometrico generado con paleta rojo, negro, crema, estructura horizontal y repeticion visual.","Patron sintetico con elementos de bandas geometricas, distribucion horizontal y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",rojo_negro_crema,horizontal,bandas geometricas,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T032,data/images/T032.png,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta azul, crema, marron.","Imagen generada de inspiracion textil con bandas geometricas, organizacion vertical y simetria repetitiva.","Diseno geometrico generado con paleta azul, crema, marron, estructura vertical y repeticion visual.","Patron sintetico con elementos de bandas geometricas, distribucion vertical y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",azul_crema_marron,vertical,bandas geometricas,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T033,data/images/T033.png,"Patron textil generado con composicion central, motivos de rombos y paleta ocre, marron, negro.","Imagen generada de inspiracion textil con rombos, organizacion central y simetria bilateral.","Diseno geometrico generado con paleta ocre, marron, negro, estructura central y repeticion visual.","Patron sintetico con elementos de rombos, distribucion central y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria bilateral y nivel de ambiguedad medio.",ocre_marron_negro,central,rombos,bilateral,medio,Imagen generada por script para evaluacion academica controlada
T034,data/images/T034.png,"Patron textil generado con composicion modular, motivos de grecas escalonadas y paleta blanco, negro, gris.","Imagen generada de inspiracion textil con grecas escalonadas, organizacion modular y simetria repetitiva.","Diseno geometrico generado con paleta blanco, negro, gris, estructura modular y repeticion visual.","Patron sintetico con elementos de grecas escalonadas, distribucion modular y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad medio.",blanco_negro_gris,modular,grecas escalonadas,repetitiva,medio,Imagen generada por script para evaluacion academica controlada
T035,data/images/T035.png,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta multicolor, tierra.","Imagen generada de inspiracion textil con cuadricula geometrica, organizacion reticular y simetria repetitiva.","Diseno geometrico generado con paleta multicolor, tierra, estructura reticular y repeticion visual.","Patron sintetico con elementos de cuadricula geometrica, distribucion reticular y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",multicolor_tierra,reticular,cuadricula geometrica,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T036,data/images/T036.png,"Patron textil generado con composicion mixta, motivos de motivos geometricos combinados y paleta rojo, negro, crema.","Imagen generada de inspiracion textil con motivos geometricos combinados, organizacion mixta y simetria asimetrica.","Diseno geometrico generado con paleta rojo, negro, crema, estructura mixta y repeticion visual.","Patron sintetico con elementos de motivos geometricos combinados, distribucion mixta y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria asimetrica y nivel de ambiguedad alto.",rojo_negro_crema,mixta,motivos geometricos combinados,asimetrica,alto,Imagen generada por script para evaluacion academica controlada
T037,data/images/T037.png,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta azul, crema, marron.","Imagen generada de inspiracion textil con bandas geometricas, organizacion horizontal y simetria repetitiva.","Diseno geometrico generado con paleta azul, crema, marron, estructura horizontal y repeticion visual.","Patron sintetico con elementos de bandas geometricas, distribucion horizontal y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",azul_crema_marron,horizontal,bandas geometricas,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T038,data/images/T038.png,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta ocre, marron, negro.","Imagen generada de inspiracion textil con bandas geometricas, organizacion vertical y simetria repetitiva.","Diseno geometrico generado con paleta ocre, marron, negro, estructura vertical y repeticion visual.","Patron sintetico con elementos de bandas geometricas, distribucion vertical y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",ocre_marron_negro,vertical,bandas geometricas,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T039,data/images/T039.png,"Patron textil generado con composicion central, motivos de rombos y paleta blanco, negro, gris.","Imagen generada de inspiracion textil con rombos, organizacion central y simetria bilateral.","Diseno geometrico generado con paleta blanco, negro, gris, estructura central y repeticion visual.","Patron sintetico con elementos de rombos, distribucion central y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria bilateral y nivel de ambiguedad medio.",blanco_negro_gris,central,rombos,bilateral,medio,Imagen generada por script para evaluacion academica controlada
T040,data/images/T040.png,"Patron textil generado con composicion modular, motivos de grecas escalonadas y paleta multicolor, tierra.","Imagen generada de inspiracion textil con grecas escalonadas, organizacion modular y simetria repetitiva.","Diseno geometrico generado con paleta multicolor, tierra, estructura modular y repeticion visual.","Patron sintetico con elementos de grecas escalonadas, distribucion modular y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad medio.",multicolor_tierra,modular,grecas escalonadas,repetitiva,medio,Imagen generada por script para evaluacion academica controlada
