metric_row_index,comparability_family,experiment_id,experiment_name,source_section,condition,condition_label,metric_name,metric_value,sample_count,sample_unit,relevance_type,candidate_or_gallery_count,anchor_id,directly_comparable_within_family,source_summary_path
38,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,original_image_full_caption,Imagen original + caption completo,structural_hit_at_1,0.239285714286,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
39,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,original_image_full_caption,Imagen original + caption completo,structural_hit_at_5,0.832142857143,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
40,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,original_image_full_caption,Imagen original + caption completo,structural_fractional_recall_at_5,0.143367346939,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
41,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,original_image_full_caption,Imagen original + caption completo,structural_mrr,0.467428945063,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
42,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,original_image_full_caption,Imagen original + caption completo,structural_ndcg_at_10,0.244898991783,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
43,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,original_image_full_caption,Imagen original + caption completo,best_relevant_margin,-0.019519026844,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
44,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,grayscale_image_full_caption,Imagen en gris + caption completo,structural_hit_at_1,0.292857142857,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
45,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,grayscale_image_full_caption,Imagen en gris + caption completo,structural_hit_at_5,0.510714285714,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
46,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,grayscale_image_full_caption,Imagen en gris + caption completo,structural_fractional_recall_at_5,0.203061224490,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
47,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,grayscale_image_full_caption,Imagen en gris + caption completo,structural_mrr,0.411211185169,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
48,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,grayscale_image_full_caption,Imagen en gris + caption completo,structural_ndcg_at_10,0.327758534686,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
49,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,grayscale_image_full_caption,Imagen en gris + caption completo,best_relevant_margin,-0.015075874462,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
50,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,original_image_caption_without_color,Imagen original + caption sin color,structural_hit_at_1,0.275000000000,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
51,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,original_image_caption_without_color,Imagen original + caption sin color,structural_hit_at_5,0.500000000000,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
52,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,original_image_caption_without_color,Imagen original + caption sin color,structural_fractional_recall_at_5,0.235714285714,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
53,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,original_image_caption_without_color,Imagen original + caption sin color,structural_mrr,0.410266386358,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
54,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,original_image_caption_without_color,Imagen original + caption sin color,structural_ndcg_at_10,0.370366867973,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
55,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,original_image_caption_without_color,Imagen original + caption sin color,best_relevant_margin,-0.009797053412,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
56,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,grayscale_image_caption_without_color,Imagen en gris + caption sin color,structural_hit_at_1,0.425000000000,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
57,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,grayscale_image_caption_without_color,Imagen en gris + caption sin color,structural_hit_at_5,0.525000000000,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
58,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,grayscale_image_caption_without_color,Imagen en gris + caption sin color,structural_fractional_recall_at_5,0.242857142857,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
59,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,grayscale_image_caption_without_color,Imagen en gris + caption sin color,structural_mrr,0.490930804384,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
60,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,grayscale_image_caption_without_color,Imagen en gris + caption sin color,structural_ndcg_at_10,0.379457452697,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
61,structural_multi_relevance,E4,color_ablations,structural_overall_metrics,grayscale_image_caption_without_color,Imagen en gris + caption sin color,best_relevant_margin,-0.007361171395,40,structural_caption_group,seven_structurally_relevant_images,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
