caption_id,image_id,semantic_id,structure_id,colorless_caption_id,template_id,is_canonical,split,pattern_id,palette_id,motif,orientation,composition,symmetry,caption_text,caption_sha256
CAP-V2_003-TPL_01,V2_003,SEM-7418F4CCBDB8F621,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_01,TPL_01,true,id,bands_horizontal,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,"Patr?n geom?trico sint?tico con paleta ocre, marrón y negro; con bandas geométricas como motivo principal; orientaci?n horizontal; composici?n en bandas; simetr?a repetitiva.",68f1af9a5d7933337dac0a0fda635074ac0a5095a9d1f0bfa46c6986998221e2
CAP-V2_003-TPL_02,V2_003,SEM-7418F4CCBDB8F621,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_02,TPL_02,false,id,bands_horizontal,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,"Imagen abstracta en colores ocre, marrón y negro, formada por bandas geométricas, con orientación horizontal, composición en bandas y simetría repetitiva.",8b0997dcdc2261646a6756e5fbf10b257750ccaf0e49c44b8ffe4bdf55272469
CAP-V2_003-TPL_03,V2_003,SEM-7418F4CCBDB8F621,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_03,TPL_03,false,id,bands_horizontal,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,"Diseño de composición en bandas que muestra bandas geométricas, orientación horizontal, simetría repetitiva y una paleta ocre, marrón y negro.",88b4c87a50701f0f1821d40f5264050cff54e514eaf95d932146660566689b9d
CAP-V2_003-TPL_04,V2_003,SEM-7418F4CCBDB8F621,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_04,TPL_04,false,id,bands_horizontal,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,"Representación sintética de bandas geométricas; la orientación es horizontal, la composición es en bandas, la simetría es repetitiva y los colores son ocre, marrón y negro.",2829446f0eafc5746f3a2509026813e19b4260a9c788ec9df6ba3ad59c36cb9a
CAP-V2_003-TPL_05,V2_003,SEM-7418F4CCBDB8F621,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_05,TPL_05,false,id,bands_horizontal,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,"Textura geométrica con bandas geométricas, orientación horizontal, composición en bandas, simetría repetitiva y combinación cromática ocre, marrón y negro.",711f82f194807f585e7cc30afc4ecd3139f4b7d07f86e0601c49f8e1bc62fa16
CAP-V2_004-TPL_01,V2_004,SEM-7CE10D3F8F559237,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_01,TPL_01,true,id,bands_horizontal,blanco_negro_gris,bandas geométricas,horizontal,bandas,repetitiva,"Patr?n geom?trico sint?tico con paleta blanco, negro y gris; con bandas geométricas como motivo principal; orientaci?n horizontal; composici?n en bandas; simetr?a repetitiva.",1eec715ae628f0d81c75dc669d8d01c13ffee6142d58e713fbc988a89c89c0d1
CAP-V2_004-TPL_02,V2_004,SEM-7CE10D3F8F559237,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_02,TPL_02,false,id,bands_horizontal,blanco_negro_gris,bandas geométricas,horizontal,bandas,repetitiva,"Imagen abstracta en colores blanco, negro y gris, formada por bandas geométricas, con orientación horizontal, composición en bandas y simetría repetitiva.",d6fca232bdf7bf93a5b7090d73f0416f30b4d45d025e2b48623493903b74682c
CAP-V2_004-TPL_03,V2_004,SEM-7CE10D3F8F559237,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_03,TPL_03,false,id,bands_horizontal,blanco_negro_gris,bandas geométricas,horizontal,bandas,repetitiva,"Diseño de composición en bandas que muestra bandas geométricas, orientación horizontal, simetría repetitiva y una paleta blanco, negro y gris.",a34006ccde0ee1e70bfcee95a47f3d02257892049c2ff40616914da979b0bfa1
CAP-V2_004-TPL_04,V2_004,SEM-7CE10D3F8F559237,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_04,TPL_04,false,id,bands_horizontal,blanco_negro_gris,bandas geométricas,horizontal,bandas,repetitiva,"Representación sintética de bandas geométricas; la orientación es horizontal, la composición es en bandas, la simetría es repetitiva y los colores son blanco, negro y gris.",c24f235542d9e6dbfab6621de3304cda6fc1611798c394947b661db8055d13db
CAP-V2_004-TPL_05,V2_004,SEM-7CE10D3F8F559237,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_05,TPL_05,false,id,bands_horizontal,blanco_negro_gris,bandas geométricas,horizontal,bandas,repetitiva,"Textura geométrica con bandas geométricas, orientación horizontal, composición en bandas, simetría repetitiva y combinación cromática blanco, negro y gris.",2dee1f211ff5034ba897c7c85a762339dd76b2ce50a155455d7dba11cc3844ac
CAP-V2_005-TPL_01,V2_005,SEM-CA5D6EBFCD7B84E3,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_01,TPL_01,true,id,bands_horizontal,multicolor_tierra,bandas geométricas,horizontal,bandas,repetitiva,"Patr?n geom?trico sint?tico con paleta rojo tierra, ocre, verde oscuro y azul profundo; con bandas geométricas como motivo principal; orientaci?n horizontal; composici?n en bandas; simetr?a repetitiva.",ec7da47c320d6422c3721fb72f334020f3dcbbecc3ceae884227084ded85a6df
CAP-V2_005-TPL_02,V2_005,SEM-CA5D6EBFCD7B84E3,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_02,TPL_02,false,id,bands_horizontal,multicolor_tierra,bandas geométricas,horizontal,bandas,repetitiva,"Imagen abstracta en colores rojo tierra, ocre, verde oscuro y azul profundo, formada por bandas geométricas, con orientación horizontal, composición en bandas y simetría repetitiva.",2ce22400ab855141e748d90db6ec129d7f9b2b28022f365ad93957b546a1ca37
CAP-V2_005-TPL_03,V2_005,SEM-CA5D6EBFCD7B84E3,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_03,TPL_03,false,id,bands_horizontal,multicolor_tierra,bandas geométricas,horizontal,bandas,repetitiva,"Diseño de composición en bandas que muestra bandas geométricas, orientación horizontal, simetría repetitiva y una paleta rojo tierra, ocre, verde oscuro y azul profundo.",3a981b3c89d7cc11af6b701ec6211928ed447a15367c63ddbb4612fee98e0063
CAP-V2_005-TPL_04,V2_005,SEM-CA5D6EBFCD7B84E3,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_04,TPL_04,false,id,bands_horizontal,multicolor_tierra,bandas geométricas,horizontal,bandas,repetitiva,"Representación sintética de bandas geométricas; la orientación es horizontal, la composición es en bandas, la simetría es repetitiva y los colores son rojo tierra, ocre, verde oscuro y azul profundo.",383cdc1ff8ae56413708c87349e0ec6229670e42baeaca1e84e08cf0b147a8e3
CAP-V2_005-TPL_05,V2_005,SEM-CA5D6EBFCD7B84E3,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_05,TPL_05,false,id,bands_horizontal,multicolor_tierra,bandas geométricas,horizontal,bandas,repetitiva,"Textura geométrica con bandas geométricas, orientación horizontal, composición en bandas, simetría repetitiva y combinación cromática rojo tierra, ocre, verde oscuro y azul profundo.",722bf74cd8410923951462fb0b554e2bf4d57538b86e9b2a3a61085d38247035
CAP-V2_006-TPL_01,V2_006,SEM-4699702E8A447735,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_01,TPL_01,true,id,bands_vertical,rojo_negro_crema,bandas geométricas,vertical,bandas,repetitiva,"Patr?n geom?trico sint?tico con paleta rojo oscuro, negro y crema; con bandas geométricas como motivo principal; orientaci?n vertical; composici?n en bandas; simetr?a repetitiva.",1a20c9753c0189913860373e6bc74d2915b4f0092bcbe48bb59ed946704b5e47
CAP-V2_006-TPL_02,V2_006,SEM-4699702E8A447735,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_02,TPL_02,false,id,bands_vertical,rojo_negro_crema,bandas geométricas,vertical,bandas,repetitiva,"Imagen abstracta en colores rojo oscuro, negro y crema, formada por bandas geométricas, con orientación vertical, composición en bandas y simetría repetitiva.",e212022e3f92278302a1457e3016b9f3e454904333d4018a5f48c7fcc6ba5fe1
CAP-V2_006-TPL_03,V2_006,SEM-4699702E8A447735,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_03,TPL_03,false,id,bands_vertical,rojo_negro_crema,bandas geométricas,vertical,bandas,repetitiva,"Diseño de composición en bandas que muestra bandas geométricas, orientación vertical, simetría repetitiva y una paleta rojo oscuro, negro y crema.",55e05c18fd1c9e560d014d9f1f6fdd635797efcd76d57e49efcaf2049b94ef27
CAP-V2_006-TPL_04,V2_006,SEM-4699702E8A447735,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_04,TPL_04,false,id,bands_vertical,rojo_negro_crema,bandas geométricas,vertical,bandas,repetitiva,"Representación sintética de bandas geométricas; la orientación es vertical, la composición es en bandas, la simetría es repetitiva y los colores son rojo oscuro, negro y crema.",9bd9b3a60cb1483377273eacb76d7770955c449cde921176889e313ccefb298a
CAP-V2_006-TPL_05,V2_006,SEM-4699702E8A447735,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_05,TPL_05,false,id,bands_vertical,rojo_negro_crema,bandas geométricas,vertical,bandas,repetitiva,"Textura geométrica con bandas geométricas, orientación vertical, composición en bandas, simetría repetitiva y combinación cromática rojo oscuro, negro y crema.",f27d58be2511021f8a768d5ef01c4c59e490ef53fc4b2242815d92c98e795272
CAP-V2_007-TPL_01,V2_007,SEM-657EAE79EA891854,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_01,TPL_01,true,id,bands_vertical,azul_crema_marron,bandas geométricas,vertical,bandas,repetitiva,"Patr?n geom?trico sint?tico con paleta azul profundo, crema y marrón; con bandas geométricas como motivo principal; orientaci?n vertical; composici?n en bandas; simetr?a repetitiva.",287ea55db5878a3d26c141d1c34e84a23c965681ead69528845672a14598790b
CAP-V2_007-TPL_02,V2_007,SEM-657EAE79EA891854,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_02,TPL_02,false,id,bands_vertical,azul_crema_marron,bandas geométricas,vertical,bandas,repetitiva,"Imagen abstracta en colores azul profundo, crema y marrón, formada por bandas geométricas, con orientación vertical, composición en bandas y simetría repetitiva.",670ada1736d755a2274b91e16aaa63a648e64f157e467dd7450b2d27445468a6
CAP-V2_007-TPL_03,V2_007,SEM-657EAE79EA891854,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_03,TPL_03,false,id,bands_vertical,azul_crema_marron,bandas geométricas,vertical,bandas,repetitiva,"Diseño de composición en bandas que muestra bandas geométricas, orientación vertical, simetría repetitiva y una paleta azul profundo, crema y marrón.",8306b3d815500bc7ed58e895056c0453f0d8b3098a1c25061f8696c06344f4c1
CAP-V2_007-TPL_04,V2_007,SEM-657EAE79EA891854,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_04,TPL_04,false,id,bands_vertical,azul_crema_marron,bandas geométricas,vertical,bandas,repetitiva,"Representación sintética de bandas geométricas; la orientación es vertical, la composición es en bandas, la simetría es repetitiva y los colores son azul profundo, crema y marrón.",22ab6ebedff8a1cc556fee810147838692678122a15e4c21357465c4f850ae69
CAP-V2_007-TPL_05,V2_007,SEM-657EAE79EA891854,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_05,TPL_05,false,id,bands_vertical,azul_crema_marron,bandas geométricas,vertical,bandas,repetitiva,"Textura geométrica con bandas geométricas, orientación vertical, composición en bandas, simetría repetitiva y combinación cromática azul profundo, crema y marrón.",b3b94c197ed659bf84a376e8d312c443113c7299f8f4d2fcbe2f8610fd2cd35e
CAP-V2_008-TPL_01,V2_008,SEM-F49183E2AB7334C9,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_01,TPL_01,true,id,bands_vertical,ocre_marron_negro,bandas geométricas,vertical,bandas,repetitiva,"Patr?n geom?trico sint?tico con paleta ocre, marrón y negro; con bandas geométricas como motivo principal; orientaci?n vertical; composici?n en bandas; simetr?a repetitiva.",9f2582895888fac5096fe1c0b36909b4ecef9a82b8f0527a7022d83065741986
CAP-V2_008-TPL_02,V2_008,SEM-F49183E2AB7334C9,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_02,TPL_02,false,id,bands_vertical,ocre_marron_negro,bandas geométricas,vertical,bandas,repetitiva,"Imagen abstracta en colores ocre, marrón y negro, formada por bandas geométricas, con orientación vertical, composición en bandas y simetría repetitiva.",f5840d458b0ca5ab2930b9f6e584afd6c78687b7b90d3ca3fb5bd3be2b3875de
CAP-V2_008-TPL_03,V2_008,SEM-F49183E2AB7334C9,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_03,TPL_03,false,id,bands_vertical,ocre_marron_negro,bandas geométricas,vertical,bandas,repetitiva,"Diseño de composición en bandas que muestra bandas geométricas, orientación vertical, simetría repetitiva y una paleta ocre, marrón y negro.",a30ca2c92b8f9839ab6025265f774a775d2e53c578f37351af4d14d2553b6a6d
CAP-V2_008-TPL_04,V2_008,SEM-F49183E2AB7334C9,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_04,TPL_04,false,id,bands_vertical,ocre_marron_negro,bandas geométricas,vertical,bandas,repetitiva,"Representación sintética de bandas geométricas; la orientación es vertical, la composición es en bandas, la simetría es repetitiva y los colores son ocre, marrón y negro.",956a1c94cc1b957782f421d872d8641b05e8e7af0bce8137233fe9910dbfcc09
CAP-V2_008-TPL_05,V2_008,SEM-F49183E2AB7334C9,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_05,TPL_05,false,id,bands_vertical,ocre_marron_negro,bandas geométricas,vertical,bandas,repetitiva,"Textura geométrica con bandas geométricas, orientación vertical, composición en bandas, simetría repetitiva y combinación cromática ocre, marrón y negro.",79369f1e36a8a343444a3aec91fccb1a273c377aae07d617d8b3e4f79e90179d
CAP-V2_009-TPL_01,V2_009,SEM-0EFA93DD8D5CE9AD,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_01,TPL_01,true,id,bands_vertical,blanco_negro_gris,bandas geométricas,vertical,bandas,repetitiva,"Patr?n geom?trico sint?tico con paleta blanco, negro y gris; con bandas geométricas como motivo principal; orientaci?n vertical; composici?n en bandas; simetr?a repetitiva.",f39be02d33b16e73ea86fa8d91292a78ad412329823782f12c0f1aab51e67a8a
CAP-V2_009-TPL_02,V2_009,SEM-0EFA93DD8D5CE9AD,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_02,TPL_02,false,id,bands_vertical,blanco_negro_gris,bandas geométricas,vertical,bandas,repetitiva,"Imagen abstracta en colores blanco, negro y gris, formada por bandas geométricas, con orientación vertical, composición en bandas y simetría repetitiva.",40262caba91ee254dff15041a8bd1445b83258679646f7ae09c8b0c6a618ee61
CAP-V2_009-TPL_03,V2_009,SEM-0EFA93DD8D5CE9AD,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_03,TPL_03,false,id,bands_vertical,blanco_negro_gris,bandas geométricas,vertical,bandas,repetitiva,"Diseño de composición en bandas que muestra bandas geométricas, orientación vertical, simetría repetitiva y una paleta blanco, negro y gris.",5d29897e6301ec6831f9964bc95f3e2a3d9bed83242ebc2fb6aecdd1dae01694
CAP-V2_009-TPL_04,V2_009,SEM-0EFA93DD8D5CE9AD,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_04,TPL_04,false,id,bands_vertical,blanco_negro_gris,bandas geométricas,vertical,bandas,repetitiva,"Representación sintética de bandas geométricas; la orientación es vertical, la composición es en bandas, la simetría es repetitiva y los colores son blanco, negro y gris.",6b9c1180fea1d5c8a7e912eb601ec1bf223c4a7f89fb6cdc8adce12ce4f69de9
CAP-V2_009-TPL_05,V2_009,SEM-0EFA93DD8D5CE9AD,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_05,TPL_05,false,id,bands_vertical,blanco_negro_gris,bandas geométricas,vertical,bandas,repetitiva,"Textura geométrica con bandas geométricas, orientación vertical, composición en bandas, simetría repetitiva y combinación cromática blanco, negro y gris.",5f2ce9b1872e339e4645e623af243a72d06aa68f3917799dbcf741d85281c639
CAP-V2_010-TPL_01,V2_010,SEM-7E4D8819AF0D376B,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_01,TPL_01,true,id,bands_vertical,multicolor_tierra,bandas geométricas,vertical,bandas,repetitiva,"Patr?n geom?trico sint?tico con paleta rojo tierra, ocre, verde oscuro y azul profundo; con bandas geométricas como motivo principal; orientaci?n vertical; composici?n en bandas; simetr?a repetitiva.",e8aab99e8a6a4bf104e2aaeaed22cc17fa3c792b66ab0deb7b53470afb9a32d1
CAP-V2_010-TPL_02,V2_010,SEM-7E4D8819AF0D376B,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_02,TPL_02,false,id,bands_vertical,multicolor_tierra,bandas geométricas,vertical,bandas,repetitiva,"Imagen abstracta en colores rojo tierra, ocre, verde oscuro y azul profundo, formada por bandas geométricas, con orientación vertical, composición en bandas y simetría repetitiva.",171d31929ada5dada84b8700b2ff921134806956c18d7b1ff7dc06ab4e33ba6f
CAP-V2_010-TPL_03,V2_010,SEM-7E4D8819AF0D376B,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_03,TPL_03,false,id,bands_vertical,multicolor_tierra,bandas geométricas,vertical,bandas,repetitiva,"Diseño de composición en bandas que muestra bandas geométricas, orientación vertical, simetría repetitiva y una paleta rojo tierra, ocre, verde oscuro y azul profundo.",781e7e095f5a129d5ab027dfd284ade8f2905b85cb627e93f8a64d05e8ffe71a
CAP-V2_010-TPL_04,V2_010,SEM-7E4D8819AF0D376B,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_04,TPL_04,false,id,bands_vertical,multicolor_tierra,bandas geométricas,vertical,bandas,repetitiva,"Representación sintética de bandas geométricas; la orientación es vertical, la composición es en bandas, la simetría es repetitiva y los colores son rojo tierra, ocre, verde oscuro y azul profundo.",c3679611762258ee40769958d0f0c02cdb076800affbb8ecf934f2f6bfc07504
CAP-V2_010-TPL_05,V2_010,SEM-7E4D8819AF0D376B,STR-390DD4719A974C7E,SCAP-390DD4719A974C7E-TPL_05,TPL_05,false,id,bands_vertical,multicolor_tierra,bandas geométricas,vertical,bandas,repetitiva,"Textura geométrica con bandas geométricas, orientación vertical, composición en bandas, simetría repetitiva y combinación cromática rojo tierra, ocre, verde oscuro y azul profundo.",e720a47b719716d7318b1a3d96e1ee66534c5fffa64ae497d8a8e1196f946444
CAP-V2_011-TPL_01,V2_011,SEM-E6BF74678BDAC828,STR-83B17E3514D80A83,SCAP-83B17E3514D80A83-TPL_01,TPL_01,true,id,diamonds_central,rojo_negro_crema,rombos,diagonal,central,bilateral,"Patr?n geom?trico sint?tico con paleta rojo oscuro, negro y crema; con rombos como motivo principal; orientaci?n diagonal; composici?n central; simetr?a bilateral.",e6ab044afe9a179f23dd2783a683e348ced370037fce0a38174783ad1e046430
CAP-V2_011-TPL_02,V2_011,SEM-E6BF74678BDAC828,STR-83B17E3514D80A83,SCAP-83B17E3514D80A83-TPL_02,TPL_02,false,id,diamonds_central,rojo_negro_crema,rombos,diagonal,central,bilateral,"Imagen abstracta en colores rojo oscuro, negro y crema, formada por rombos, con orientación diagonal, composición central y simetría bilateral.",021b04035d0cf6d8a81ea4483aed2f6b0775bd900758f342d57595d5efc9c5cd
CAP-V2_011-TPL_03,V2_011,SEM-E6BF74678BDAC828,STR-83B17E3514D80A83,SCAP-83B17E3514D80A83-TPL_03,TPL_03,false,id,diamonds_central,rojo_negro_crema,rombos,diagonal,central,bilateral,"Diseño de composición central que muestra rombos, orientación diagonal, simetría bilateral y una paleta rojo oscuro, negro y crema.",4543d0a3143f2854af6a5129ca57ac6a505751bd58235fa92e3876c7e9140f66
CAP-V2_011-TPL_04,V2_011,SEM-E6BF74678BDAC828,STR-83B17E3514D80A83,SCAP-83B17E3514D80A83-TPL_04,TPL_04,false,id,diamonds_central,rojo_negro_crema,rombos,diagonal,central,bilateral,"Representación sintética de rombos; la orientación es diagonal, la composición es central, la simetría es bilateral y los colores son rojo oscuro, negro y crema.",5021844d380f1dc037f5a89d4e7cb4cda623e5e145639cd3ea82f907dd89c14b
CAP-V2_011-TPL_05,V2_011,SEM-E6BF74678BDAC828,STR-83B17E3514D80A83,SCAP-83B17E3514D80A83-TPL_05,TPL_05,false,id,diamonds_central,rojo_negro_crema,rombos,diagonal,central,bilateral,"Textura geométrica con rombos, orientación diagonal, composición central, simetría bilateral y combinación cromática rojo oscuro, negro y crema.",c251d45eb6b9e7b5200f7f94992797865bf0d9d375be603e96cfe11b76087716
CAP-V2_012-TPL_01,V2_012,SEM-F5F0E5F56F3B9CDD,STR-83B17E3514D80A83,SCAP-83B17E3514D80A83-TPL_01,TPL_01,true,id,diamonds_central,azul_crema_marron,rombos,diagonal,central,bilateral,"Patr?n geom?trico sint?tico con paleta azul profundo, crema y marrón; con rombos como motivo principal; orientaci?n diagonal; composici?n central; simetr?a bilateral.",ec8e5023d57372efb6b6d7248017d612ce3a6ba72a5e59c13f65c2b488b89e1b
CAP-V2_012-TPL_02,V2_012,SEM-F5F0E5F56F3B9CDD,STR-83B17E3514D80A83,SCAP-83B17E3514D80A83-TPL_02,TPL_02,false,id,diamonds_central,azul_crema_marron,rombos,diagonal,central,bilateral,"Imagen abstracta en colores azul profundo, crema y marrón, formada por rombos, con orientación diagonal, composición central y simetría bilateral.",b2f6846ae5ab0c03fa360f75953617e1d7a56418a371f076610b2e81c52d783c
CAP-V2_012-TPL_03,V2_012,SEM-F5F0E5F56F3B9CDD,STR-83B17E3514D80A83,SCAP-83B17E3514D80A83-TPL_03,TPL_03,false,id,diamonds_central,azul_crema_marron,rombos,diagonal,central,bilateral,"Diseño de composición central que muestra rombos, orientación diagonal, simetría bilateral y una paleta azul profundo, crema y marrón.",35457d267bf48b35c38af68587f18c1014379440126736c84290cc44e5fe58d8
CAP-V2_012-TPL_04,V2_012,SEM-F5F0E5F56F3B9CDD,STR-83B17E3514D80A83,SCAP-83B17E3514D80A83-TPL_04,TPL_04,false,id,diamonds_central,azul_crema_marron,rombos,diagonal,central,bilateral,"Representación sintética de rombos; la orientación es diagonal, la composición es central, la simetría es bilateral y los colores son azul profundo, crema y marrón.",4361355b5a9305b6c41e335dc9abe5e9c12289225653eda6060915eb4672f4ee
CAP-V2_012-TPL_05,V2_012,SEM-F5F0E5F56F3B9CDD,STR-83B17E3514D80A83,SCAP-83B17E3514D80A83-TPL_05,TPL_05,false,id,diamonds_central,azul_crema_marron,rombos,diagonal,central,bilateral,"Textura geométrica con rombos, orientación diagonal, composición central, simetría bilateral y combinación cromática azul profundo, crema y marrón.",1eb95e25ae8e6be292c8c1b2dbefb36d854935a4e1e5ca86fb33bf195937cd90
