query_id,query_index,image_id,semantic_id,structure_id,pattern_id,palette_id,motif,orientation,composition,symmetry,ambiguity_level,split,image_path,template_id,omitted_attribute,positive_position,positive_candidate_id,positive_caption_id,positive_caption_text,candidate_ids,candidate_count,negative_count,global_overlap_negative_count,nonoverlap_negative_count
HNQ-V2_011,10,V2_011,SEM-E6BF74678BDAC828,STR-83B17E3514D80A83,diamonds_central,rojo_negro_crema,rombos,diagonal,central,bilateral,medio,id,data/v2/images/V2_011.png,TPL_01,palette_id,4,HNC-V2_011-P04,CAP-V2_011-TPL_01,"Patr?n geom?trico sint?tico con paleta rojo oscuro, negro y crema; con rombos como motivo principal; orientaci?n diagonal; composici?n central; simetr?a bilateral.",HNC-V2_011-P01|HNC-V2_011-P02|HNC-V2_011-P03|HNC-V2_011-P04|HNC-V2_011-P05,5,4,0,4
HNQ-V2_012,11,V2_012,SEM-F5F0E5F56F3B9CDD,STR-83B17E3514D80A83,diamonds_central,azul_crema_marron,rombos,diagonal,central,bilateral,medio,id,data/v2/images/V2_012.png,TPL_01,motif,1,HNC-V2_012-P01,CAP-V2_012-TPL_01,"Patr?n geom?trico sint?tico con paleta azul profundo, crema y marrón; con rombos como motivo principal; orientaci?n diagonal; composici?n central; simetr?a bilateral.",HNC-V2_012-P01|HNC-V2_012-P02|HNC-V2_012-P03|HNC-V2_012-P04|HNC-V2_012-P05,5,4,1,3
HNQ-V2_013,12,V2_013,SEM-6C847486A44390D1,STR-83B17E3514D80A83,diamonds_central,ocre_marron_negro,rombos,diagonal,central,bilateral,medio,id,data/v2/images/V2_013.png,TPL_01,orientation,3,HNC-V2_013-P03,CAP-V2_013-TPL_01,"Patr?n geom?trico sint?tico con paleta ocre, marrón y negro; con rombos como motivo principal; orientaci?n diagonal; composici?n central; simetr?a bilateral.",HNC-V2_013-P01|HNC-V2_013-P02|HNC-V2_013-P03|HNC-V2_013-P04|HNC-V2_013-P05,5,4,1,3
HNQ-V2_014,13,V2_014,SEM-B0502F5A4E58AF67,STR-83B17E3514D80A83,diamonds_central,blanco_negro_gris,rombos,diagonal,central,bilateral,medio,id,data/v2/images/V2_014.png,TPL_01,composition,5,HNC-V2_014-P05,CAP-V2_014-TPL_01,"Patr?n geom?trico sint?tico con paleta blanco, negro y gris; con rombos como motivo principal; orientaci?n diagonal; composici?n central; simetr?a bilateral.",HNC-V2_014-P01|HNC-V2_014-P02|HNC-V2_014-P03|HNC-V2_014-P04|HNC-V2_014-P05,5,4,1,3
HNQ-V2_015,14,V2_015,SEM-48FFBCDFBB1178FE,STR-83B17E3514D80A83,diamonds_central,multicolor_tierra,rombos,diagonal,central,bilateral,medio,id,data/v2/images/V2_015.png,TPL_01,symmetry,2,HNC-V2_015-P02,CAP-V2_015-TPL_01,"Patr?n geom?trico sint?tico con paleta rojo tierra, ocre, verde oscuro y azul profundo; con rombos como motivo principal; orientaci?n diagonal; composici?n central; simetr?a bilateral.",HNC-V2_015-P01|HNC-V2_015-P02|HNC-V2_015-P03|HNC-V2_015-P04|HNC-V2_015-P05,5,4,1,3
HNQ-V2_016,15,V2_016,SEM-1F7D0D80E51AE939,STR-32D96D397FD7BD30,grecas_modular,rojo_negro_crema,grecas escalonadas,horizontal,modular,repetitiva,medio,id,data/v2/images/V2_016.png,TPL_01,palette_id,5,HNC-V2_016-P05,CAP-V2_016-TPL_01,"Patr?n geom?trico sint?tico con paleta rojo oscuro, negro y crema; con grecas escalonadas como motivo principal; orientaci?n horizontal; composici?n modular; simetr?a repetitiva.",HNC-V2_016-P01|HNC-V2_016-P02|HNC-V2_016-P03|HNC-V2_016-P04|HNC-V2_016-P05,5,4,0,4
HNQ-V2_017,16,V2_017,SEM-B4047E6372E8425A,STR-32D96D397FD7BD30,grecas_modular,azul_crema_marron,grecas escalonadas,horizontal,modular,repetitiva,medio,id,data/v2/images/V2_017.png,TPL_01,motif,2,HNC-V2_017-P02,CAP-V2_017-TPL_01,"Patr?n geom?trico sint?tico con paleta azul profundo, crema y marrón; con grecas escalonadas como motivo principal; orientaci?n horizontal; composici?n modular; simetr?a repetitiva.",HNC-V2_017-P01|HNC-V2_017-P02|HNC-V2_017-P03|HNC-V2_017-P04|HNC-V2_017-P05,5,4,1,3
HNQ-V2_018,17,V2_018,SEM-8DD56A09C7883053,STR-32D96D397FD7BD30,grecas_modular,ocre_marron_negro,grecas escalonadas,horizontal,modular,repetitiva,medio,id,data/v2/images/V2_018.png,TPL_01,orientation,4,HNC-V2_018-P04,CAP-V2_018-TPL_01,"Patr?n geom?trico sint?tico con paleta ocre, marrón y negro; con grecas escalonadas como motivo principal; orientaci?n horizontal; composici?n modular; simetr?a repetitiva.",HNC-V2_018-P01|HNC-V2_018-P02|HNC-V2_018-P03|HNC-V2_018-P04|HNC-V2_018-P05,5,4,1,3
HNQ-V2_019,18,V2_019,SEM-92B4FA22CEDB29E6,STR-32D96D397FD7BD30,grecas_modular,blanco_negro_gris,grecas escalonadas,horizontal,modular,repetitiva,medio,id,data/v2/images/V2_019.png,TPL_01,composition,1,HNC-V2_019-P01,CAP-V2_019-TPL_01,"Patr?n geom?trico sint?tico con paleta blanco, negro y gris; con grecas escalonadas como motivo principal; orientaci?n horizontal; composici?n modular; simetr?a repetitiva.",HNC-V2_019-P01|HNC-V2_019-P02|HNC-V2_019-P03|HNC-V2_019-P04|HNC-V2_019-P05,5,4,1,3
HNQ-V2_020,19,V2_020,SEM-A02450BA65AD4237,STR-32D96D397FD7BD30,grecas_modular,multicolor_tierra,grecas escalonadas,horizontal,modular,repetitiva,medio,id,data/v2/images/V2_020.png,TPL_01,symmetry,3,HNC-V2_020-P03,CAP-V2_020-TPL_01,"Patr?n geom?trico sint?tico con paleta rojo tierra, ocre, verde oscuro y azul profundo; con grecas escalonadas como motivo principal; orientaci?n horizontal; composici?n modular; simetr?a repetitiva.",HNC-V2_020-P01|HNC-V2_020-P02|HNC-V2_020-P03|HNC-V2_020-P04|HNC-V2_020-P05,5,4,1,3
HNQ-V2_021,20,V2_021,SEM-C35EEC4AAFF32C4A,STR-EFDC071AF166C8C3,grid_reticular,rojo_negro_crema,cuadrícula geométrica,bidireccional,reticular,repetitiva,bajo,id,data/v2/images/V2_021.png,TPL_01,palette_id,1,HNC-V2_021-P01,CAP-V2_021-TPL_01,"Patr?n geom?trico sint?tico con paleta rojo oscuro, negro y crema; con una cuadrícula geométrica como motivo principal; orientaci?n bidireccional; composici?n reticular; simetr?a repetitiva.",HNC-V2_021-P01|HNC-V2_021-P02|HNC-V2_021-P03|HNC-V2_021-P04|HNC-V2_021-P05,5,4,0,4
HNQ-V2_022,21,V2_022,SEM-14694FF153156266,STR-EFDC071AF166C8C3,grid_reticular,azul_crema_marron,cuadrícula geométrica,bidireccional,reticular,repetitiva,bajo,id,data/v2/images/V2_022.png,TPL_01,motif,3,HNC-V2_022-P03,CAP-V2_022-TPL_01,"Patr?n geom?trico sint?tico con paleta azul profundo, crema y marrón; con una cuadrícula geométrica como motivo principal; orientaci?n bidireccional; composici?n reticular; simetr?a repetitiva.",HNC-V2_022-P01|HNC-V2_022-P02|HNC-V2_022-P03|HNC-V2_022-P04|HNC-V2_022-P05,5,4,1,3
HNQ-V2_023,22,V2_023,SEM-E2B97A08DEBB8084,STR-EFDC071AF166C8C3,grid_reticular,ocre_marron_negro,cuadrícula geométrica,bidireccional,reticular,repetitiva,bajo,id,data/v2/images/V2_023.png,TPL_01,orientation,5,HNC-V2_023-P05,CAP-V2_023-TPL_01,"Patr?n geom?trico sint?tico con paleta ocre, marrón y negro; con una cuadrícula geométrica como motivo principal; orientaci?n bidireccional; composici?n reticular; simetr?a repetitiva.",HNC-V2_023-P01|HNC-V2_023-P02|HNC-V2_023-P03|HNC-V2_023-P04|HNC-V2_023-P05,5,4,1,3
HNQ-V2_024,23,V2_024,SEM-E18D189C6A8F47C1,STR-EFDC071AF166C8C3,grid_reticular,blanco_negro_gris,cuadrícula geométrica,bidireccional,reticular,repetitiva,bajo,id,data/v2/images/V2_024.png,TPL_01,composition,2,HNC-V2_024-P02,CAP-V2_024-TPL_01,"Patr?n geom?trico sint?tico con paleta blanco, negro y gris; con una cuadrícula geométrica como motivo principal; orientaci?n bidireccional; composici?n reticular; simetr?a repetitiva.",HNC-V2_024-P01|HNC-V2_024-P02|HNC-V2_024-P03|HNC-V2_024-P04|HNC-V2_024-P05,5,4,1,3
HNQ-V2_025,24,V2_025,SEM-07F558960B386287,STR-EFDC071AF166C8C3,grid_reticular,multicolor_tierra,cuadrícula geométrica,bidireccional,reticular,repetitiva,bajo,id,data/v2/images/V2_025.png,TPL_01,symmetry,4,HNC-V2_025-P04,CAP-V2_025-TPL_01,"Patr?n geom?trico sint?tico con paleta rojo tierra, ocre, verde oscuro y azul profundo; con una cuadrícula geométrica como motivo principal; orientaci?n bidireccional; composici?n reticular; simetr?a repetitiva.",HNC-V2_025-P01|HNC-V2_025-P02|HNC-V2_025-P03|HNC-V2_025-P04|HNC-V2_025-P05,5,4,1,3
HNQ-V2_026,25,V2_026,SEM-13F83CA2D0998B44,STR-7193EBD1DE12399C,mixed_asymmetric,rojo_negro_crema,motivos geométricos combinados,mixta,mixta,asimétrica,alto,id,data/v2/images/V2_026.png,TPL_01,palette_id,2,HNC-V2_026-P02,CAP-V2_026-TPL_01,"Patr?n geom?trico sint?tico con paleta rojo oscuro, negro y crema; con motivos geométricos combinados como motivo principal; orientaci?n mixta; composici?n mixta; simetr?a asimétrica.",HNC-V2_026-P01|HNC-V2_026-P02|HNC-V2_026-P03|HNC-V2_026-P04|HNC-V2_026-P05,5,4,0,4
HNQ-V2_027,26,V2_027,SEM-A81DDA56894526D2,STR-7193EBD1DE12399C,mixed_asymmetric,azul_crema_marron,motivos geométricos combinados,mixta,mixta,asimétrica,alto,id,data/v2/images/V2_027.png,TPL_01,motif,4,HNC-V2_027-P04,CAP-V2_027-TPL_01,"Patr?n geom?trico sint?tico con paleta azul profundo, crema y marrón; con motivos geométricos combinados como motivo principal; orientaci?n mixta; composici?n mixta; simetr?a asimétrica.",HNC-V2_027-P01|HNC-V2_027-P02|HNC-V2_027-P03|HNC-V2_027-P04|HNC-V2_027-P05,5,4,1,3
HNQ-V2_028,27,V2_028,SEM-395EB585FE6F4A0F,STR-7193EBD1DE12399C,mixed_asymmetric,ocre_marron_negro,motivos geométricos combinados,mixta,mixta,asimétrica,alto,id,data/v2/images/V2_028.png,TPL_01,orientation,1,HNC-V2_028-P01,CAP-V2_028-TPL_01,"Patr?n geom?trico sint?tico con paleta ocre, marrón y negro; con motivos geométricos combinados como motivo principal; orientaci?n mixta; composici?n mixta; simetr?a asimétrica.",HNC-V2_028-P01|HNC-V2_028-P02|HNC-V2_028-P03|HNC-V2_028-P04|HNC-V2_028-P05,5,4,1,3
HNQ-V2_029,28,V2_029,SEM-4F620F242D17BFDE,STR-7193EBD1DE12399C,mixed_asymmetric,blanco_negro_gris,motivos geométricos combinados,mixta,mixta,asimétrica,alto,id,data/v2/images/V2_029.png,TPL_01,composition,3,HNC-V2_029-P03,CAP-V2_029-TPL_01,"Patr?n geom?trico sint?tico con paleta blanco, negro y gris; con motivos geométricos combinados como motivo principal; orientaci?n mixta; composici?n mixta; simetr?a asimétrica.",HNC-V2_029-P01|HNC-V2_029-P02|HNC-V2_029-P03|HNC-V2_029-P04|HNC-V2_029-P05,5,4,1,3
HNQ-V2_030,29,V2_030,SEM-395AFC2FCA575E5C,STR-7193EBD1DE12399C,mixed_asymmetric,multicolor_tierra,motivos geométricos combinados,mixta,mixta,asimétrica,alto,id,data/v2/images/V2_030.png,TPL_01,symmetry,5,HNC-V2_030-P05,CAP-V2_030-TPL_01,"Patr?n geom?trico sint?tico con paleta rojo tierra, ocre, verde oscuro y azul profundo; con motivos geométricos combinados como motivo principal; orientaci?n mixta; composici?n mixta; simetr?a asimétrica.",HNC-V2_030-P01|HNC-V2_030-P02|HNC-V2_030-P03|HNC-V2_030-P04|HNC-V2_030-P05,5,4,1,3
HNQ-V2_031,30,V2_031,SEM-5385CECF3CA2ED7C,STR-A3FE31524DCA0243,bands_horizontal,verde_ocre_crema,bandas geométricas,horizontal,bandas,repetitiva,bajo,ood_palette,data/v2/images/V2_031.png,TPL_01,palette_id,3,HNC-V2_031-P03,CAP-V2_031-TPL_01,"Patr?n geom?trico sint?tico con paleta verde, ocre y crema; con bandas geométricas como motivo principal; orientaci?n horizontal; composici?n en bandas; simetr?a repetitiva.",HNC-V2_031-P01|HNC-V2_031-P02|HNC-V2_031-P03|HNC-V2_031-P04|HNC-V2_031-P05,5,4,1,3
HNQ-V2_032,31,V2_032,SEM-EBDDE1D48F194248,STR-A3FE31524DCA0243,bands_horizontal,morado_gris_rosa,bandas geométricas,horizontal,bandas,repetitiva,bajo,ood_palette,data/v2/images/V2_032.png,TPL_01,motif,5,HNC-V2_032-P05,CAP-V2_032-TPL_01,"Patr?n geom?trico sint?tico con paleta morado, gris y rosa; con bandas geométricas como motivo principal; orientaci?n horizontal; composici?n en bandas; simetr?a repetitiva.",HNC-V2_032-P01|HNC-V2_032-P02|HNC-V2_032-P03|HNC-V2_032-P04|HNC-V2_032-P05,5,4,2,2
HNQ-V2_033,32,V2_033,SEM-5B7B82044BDAE8EB,STR-390DD4719A974C7E,bands_vertical,verde_ocre_crema,bandas geométricas,vertical,bandas,repetitiva,bajo,ood_palette,data/v2/images/V2_033.png,TPL_01,orientation,2,HNC-V2_033-P02,CAP-V2_033-TPL_01,"Patr?n geom?trico sint?tico con paleta verde, ocre y crema; con bandas geométricas como motivo principal; orientaci?n vertical; composici?n en bandas; simetr?a repetitiva.",HNC-V2_033-P01|HNC-V2_033-P02|HNC-V2_033-P03|HNC-V2_033-P04|HNC-V2_033-P05,5,4,1,3
HNQ-V2_034,33,V2_034,SEM-E53EDC29A9BA52BC,STR-390DD4719A974C7E,bands_vertical,morado_gris_rosa,bandas geométricas,vertical,bandas,repetitiva,bajo,ood_palette,data/v2/images/V2_034.png,TPL_01,composition,4,HNC-V2_034-P04,CAP-V2_034-TPL_01,"Patr?n geom?trico sint?tico con paleta morado, gris y rosa; con bandas geométricas como motivo principal; orientaci?n vertical; composici?n en bandas; simetr?a repetitiva.",HNC-V2_034-P01|HNC-V2_034-P02|HNC-V2_034-P03|HNC-V2_034-P04|HNC-V2_034-P05,5,4,1,3
HNQ-V2_035,34,V2_035,SEM-FFE7DFAAFAF2AC61,STR-83B17E3514D80A83,diamonds_central,verde_ocre_crema,rombos,diagonal,central,bilateral,medio,ood_palette,data/v2/images/V2_035.png,TPL_01,symmetry,1,HNC-V2_035-P01,CAP-V2_035-TPL_01,"Patr?n geom?trico sint?tico con paleta verde, ocre y crema; con rombos como motivo principal; orientaci?n diagonal; composici?n central; simetr?a bilateral.",HNC-V2_035-P01|HNC-V2_035-P02|HNC-V2_035-P03|HNC-V2_035-P04|HNC-V2_035-P05,5,4,1,3
HNQ-V2_036,35,V2_036,SEM-A391BDC002181DD1,STR-83B17E3514D80A83,diamonds_central,morado_gris_rosa,rombos,diagonal,central,bilateral,medio,ood_palette,data/v2/images/V2_036.png,TPL_01,palette_id,4,HNC-V2_036-P04,CAP-V2_036-TPL_01,"Patr?n geom?trico sint?tico con paleta morado, gris y rosa; con rombos como motivo principal; orientaci?n diagonal; composici?n central; simetr?a bilateral.",HNC-V2_036-P01|HNC-V2_036-P02|HNC-V2_036-P03|HNC-V2_036-P04|HNC-V2_036-P05,5,4,0,4
HNQ-V2_037,36,V2_037,SEM-5300F3F8950CB672,STR-32D96D397FD7BD30,grecas_modular,verde_ocre_crema,grecas escalonadas,horizontal,modular,repetitiva,medio,ood_palette,data/v2/images/V2_037.png,TPL_01,motif,1,HNC-V2_037-P01,CAP-V2_037-TPL_01,"Patr?n geom?trico sint?tico con paleta verde, ocre y crema; con grecas escalonadas como motivo principal; orientaci?n horizontal; composici?n modular; simetr?a repetitiva.",HNC-V2_037-P01|HNC-V2_037-P02|HNC-V2_037-P03|HNC-V2_037-P04|HNC-V2_037-P05,5,4,1,3
HNQ-V2_038,37,V2_038,SEM-2D499E7E496213F7,STR-32D96D397FD7BD30,grecas_modular,morado_gris_rosa,grecas escalonadas,horizontal,modular,repetitiva,medio,ood_palette,data/v2/images/V2_038.png,TPL_01,orientation,3,HNC-V2_038-P03,CAP-V2_038-TPL_01,"Patr?n geom?trico sint?tico con paleta morado, gris y rosa; con grecas escalonadas como motivo principal; orientaci?n horizontal; composici?n modular; simetr?a repetitiva.",HNC-V2_038-P01|HNC-V2_038-P02|HNC-V2_038-P03|HNC-V2_038-P04|HNC-V2_038-P05,5,4,1,3
HNQ-V2_039,38,V2_039,SEM-99B04CC5A7706E4B,STR-EFDC071AF166C8C3,grid_reticular,verde_ocre_crema,cuadrícula geométrica,bidireccional,reticular,repetitiva,bajo,ood_palette,data/v2/images/V2_039.png,TPL_01,composition,5,HNC-V2_039-P05,CAP-V2_039-TPL_01,"Patr?n geom?trico sint?tico con paleta verde, ocre y crema; con una cuadrícula geométrica como motivo principal; orientaci?n bidireccional; composici?n reticular; simetr?a repetitiva.",HNC-V2_039-P01|HNC-V2_039-P02|HNC-V2_039-P03|HNC-V2_039-P04|HNC-V2_039-P05,5,4,1,3
HNQ-V2_040,39,V2_040,SEM-55B6A0B004427F80,STR-EFDC071AF166C8C3,grid_reticular,morado_gris_rosa,cuadrícula geométrica,bidireccional,reticular,repetitiva,bajo,ood_palette,data/v2/images/V2_040.png,TPL_01,symmetry,2,HNC-V2_040-P02,CAP-V2_040-TPL_01,"Patr?n geom?trico sint?tico con paleta morado, gris y rosa; con una cuadrícula geométrica como motivo principal; orientaci?n bidireccional; composici?n reticular; simetr?a repetitiva.",HNC-V2_040-P01|HNC-V2_040-P02|HNC-V2_040-P03|HNC-V2_040-P04|HNC-V2_040-P05,5,4,1,3
HNQ-V2_041,40,V2_041,SEM-7182256D7B84CB51,STR-7193EBD1DE12399C,mixed_asymmetric,verde_ocre_crema,motivos geométricos combinados,mixta,mixta,asimétrica,alto,ood_palette,data/v2/images/V2_041.png,TPL_01,palette_id,5,HNC-V2_041-P05,CAP-V2_041-TPL_01,"Patr?n geom?trico sint?tico con paleta verde, ocre y crema; con motivos geométricos combinados como motivo principal; orientaci?n mixta; composici?n mixta; simetr?a asimétrica.",HNC-V2_041-P01|HNC-V2_041-P02|HNC-V2_041-P03|HNC-V2_041-P04|HNC-V2_041-P05,5,4,0,4
HNQ-V2_042,41,V2_042,SEM-E7CF6ADDFBA2B989,STR-7193EBD1DE12399C,mixed_asymmetric,morado_gris_rosa,motivos geométricos combinados,mixta,mixta,asimétrica,alto,ood_palette,data/v2/images/V2_042.png,TPL_01,motif,2,HNC-V2_042-P02,CAP-V2_042-TPL_01,"Patr?n geom?trico sint?tico con paleta morado, gris y rosa; con motivos geométricos combinados como motivo principal; orientaci?n mixta; composici?n mixta; simetr?a asimétrica.",HNC-V2_042-P01|HNC-V2_042-P02|HNC-V2_042-P03|HNC-V2_042-P04|HNC-V2_042-P05,5,4,1,3
HNQ-V2_043,42,V2_043,SEM-56C4D842DA98D20F,STR-DBE3E9729199A70D,chevrons_diagonal,rojo_negro_crema,chevrones,diagonal,bandas,repetitiva,medio,ood_pattern,data/v2/images/V2_043.png,TPL_01,orientation,4,HNC-V2_043-P04,CAP-V2_043-TPL_01,"Patr?n geom?trico sint?tico con paleta rojo oscuro, negro y crema; con chevrones como motivo principal; orientaci?n diagonal; composici?n en bandas; simetr?a repetitiva.",HNC-V2_043-P01|HNC-V2_043-P02|HNC-V2_043-P03|HNC-V2_043-P04|HNC-V2_043-P05,5,4,1,3
HNQ-V2_044,43,V2_044,SEM-14E04EF9E89810AE,STR-DBE3E9729199A70D,chevrons_diagonal,azul_crema_marron,chevrones,diagonal,bandas,repetitiva,medio,ood_pattern,data/v2/images/V2_044.png,TPL_01,composition,1,HNC-V2_044-P01,CAP-V2_044-TPL_01,"Patr?n geom?trico sint?tico con paleta azul profundo, crema y marrón; con chevrones como motivo principal; orientaci?n diagonal; composici?n en bandas; simetr?a repetitiva.",HNC-V2_044-P01|HNC-V2_044-P02|HNC-V2_044-P03|HNC-V2_044-P04|HNC-V2_044-P05,5,4,1,3
HNQ-V2_045,44,V2_045,SEM-65762749FD7D9D05,STR-DBE3E9729199A70D,chevrons_diagonal,ocre_marron_negro,chevrones,diagonal,bandas,repetitiva,medio,ood_pattern,data/v2/images/V2_045.png,TPL_01,symmetry,3,HNC-V2_045-P03,CAP-V2_045-TPL_01,"Patr?n geom?trico sint?tico con paleta ocre, marrón y negro; con chevrones como motivo principal; orientaci?n diagonal; composici?n en bandas; simetr?a repetitiva.",HNC-V2_045-P01|HNC-V2_045-P02|HNC-V2_045-P03|HNC-V2_045-P04|HNC-V2_045-P05,5,4,1,3
HNQ-V2_046,45,V2_046,SEM-C6432B9E4CDBB5A7,STR-DBE3E9729199A70D,chevrons_diagonal,blanco_negro_gris,chevrones,diagonal,bandas,repetitiva,medio,ood_pattern,data/v2/images/V2_046.png,TPL_01,palette_id,1,HNC-V2_046-P01,CAP-V2_046-TPL_01,"Patr?n geom?trico sint?tico con paleta blanco, negro y gris; con chevrones como motivo principal; orientaci?n diagonal; composici?n en bandas; simetr?a repetitiva.",HNC-V2_046-P01|HNC-V2_046-P02|HNC-V2_046-P03|HNC-V2_046-P04|HNC-V2_046-P05,5,4,0,4
